"uf","codigo_ibge","municipio","tipo","status"
"PA","1506112","Quatipuru","bandeira","revisao_pendente"
"PA","1506138","Redenção","brasao","revisao_pendente"
"PA","1506138","Redenção","bandeira","revisao_pendente"
"PA","1506161","Rio Maria","brasao","nao_encontrado"
"PA","1506161","Rio Maria","bandeira","nao_encontrado"
"PA","1506187","Rondon do Pará","brasao","revisao_pendente"
"PA","1506187","Rondon do Pará","bandeira","revisao_pendente"
"PA","1506195","Rurópolis","brasao","nao_encontrado"
"PA","1506195","Rurópolis","bandeira","revisao_pendente"
"PA","1506203","Salinópolis","brasao","revisao_pendente"
"PA","1506203","Salinópolis","bandeira","revisao_pendente"
"PA","1506302","Salvaterra","brasao","revisao_pendente"
"PA","1506302","Salvaterra","bandeira","revisao_pendente"
"PA","1506351","Santa Bárbara do Pará","brasao","revisao_pendente"
"PA","1506351","Santa Bárbara do Pará","bandeira","revisao_pendente"
"PA","1506401","Santa Cruz do Arari","brasao","nao_encontrado"
"PA","1506401","Santa Cruz do Arari","bandeira","revisao_pendente"
